## Training on MOBIS

| Model | Experiment | Dataset size | Learning rate | Batch size | Dropout | Weight decay | Epochs (max) | Early stopping | Frozen layers | Test accuracy |
|-------|-----------|--------------|---------------|-----------|---------|--------------|-------------|----------------|---------------|---------------|
| LSTM-Attention | mobis_lr1e-3_bs128_h128_l2_do0.1 | — | 1e-3 | 128 | 0.1 | 1e-4 | 50 | Patience 7 | None | 92.40% |
| LSTM-Attention | mobis_lr1e-3_bs64_h128_l2_do0.1 | Train: 1,071,673<br>Val: 229,644<br>Test: 229,645 | 1e-3 | 64 | 0.1 | 1e-4 | 50 | Patience 7 | None | 92.20% |
| LSTM-Attention | mobis_lr1e-3_bs64_h128_l2_do0.2 | — | 1e-3 | 64 | 0.2 | 1e-4 | 50 | Patience 7 | None | 92.15% |
| LSTM-Attention | mobis_lr1e-3_bs64_h128_l3_do0.1 | — | 1e-3 | 64 | 0.1 | 1e-4 | 50 | Patience 7 | None | 92.26% |
| LSTM-Attention | mobis_lr1e-3_bs64_h256_l2_do0.1 | — | 1e-3 | 64 | 0.1 | 1e-4 | 50 | Patience 7 | None | 92.04% |
| LSTM-Attention | mobis_lr2e-3_bs64_h128_l2_do0.1 | — | 2e-3 | 64 | 0.1 | 1e-4 | 50 | Patience 7 | None | 92.14% |
| LSTM-Attention | mobis_lr5e-4_bs128_h256_l3_do0.1 | — | 5e-4 | 128 | 0.1 | 1e-4 | 50 | Patience 7 | None | 92.33% |
| LSTM-Attention | mobis_lr5e-4_bs64_h128_l2_do0.1 | — | 5e-4 | 64 | 0.1 | 1e-4 | 50 | Patience 7 | None | 92.35% |
| SpeedTransformer | mobis_lr1e-4_bs512_h8_d128_kv4_do0.1 | Train: 1,071,673<br>Val: 229,644<br>Test: 229,645<br>Windows: Train 1,844,960, Val 397,503, Test 395,946 | 1e-4 | 512 | 0.1 | 1e-4 | 50 | Patience 7 | None | 94.22% |
